step,total_updates,epoch,batch_in_epoch,samples_seen,mean_loss,per_target_loss,per_process_loss,target_names,process_names,step_dt,rebuild_count,holdout_loss,holdout_label,epoch_mean_loss,epoch_time_seconds,grad_norm,n_failed_samples,failed_processes
37,400,37,1,74,0.1050523812,0.09996194282;0.08422494588;0.1309702549,0.09899014485;0.1111146176,biomass;glucose;product,T_run_2;T_run_1,0.005621,0,,,0.1050523812,0.005621,0.0127474723,0,
38,400,38,1,76,0.1033822501,0.09817031052;0.08296193977;0.1290145,0.09744087034;0.1093236298,biomass;glucose;product,T_run_2;T_run_1,0.005458,0,,,0.1033822501,0.005458,0.01314334695,0,
39,400,39,1,78,0.1016554535,0.09631893359;0.08165431555;0.1269931113,0.1074663818;0.09584452514,biomass;glucose;product,T_run_1;T_run_2,0.006071,0,,,0.1016554535,0.006071,0.0135429116,0,
40,400,40,1,80,0.0998707991,0.09440734648;0.08030067575;0.1249043751,0.1055411407;0.09420045749,biomass;glucose;product,T_run_1;T_run_2,0.004669,0,,,0.0998707991,0.004669,0.01394554744,0,
41,400,41,1,82,0.09802710133,0.09243520943;0.07889957175;0.1227465228,0.09250778668;0.103546416,biomass;glucose;product,T_run_2;T_run_1,0.006008,0,,,0.09802710133,0.006008,0.01435038592,0,
42,400,42,1,84,0.09612317905,0.09040232427;0.07744949419;0.1205177187,0.1014809391;0.09076541897,biomass;glucose;product,T_run_1;T_run_2,0.006061,0,,,0.09612317905,0.006061,0.0147563193,0,
43,400,43,1,86,0.09415791196,0.08830869931;0.07594891689;0.1182161197,0.08897219665;0.09934362727,biomass;glucose;product,T_run_2;T_run_1,0.006166,0,,,0.09415791196,0.006166,0.01516200636,0,
44,400,44,1,88,0.09213032189,0.08615462135;0.07439636689;0.1158399774,0.08712702126;0.09713362252,biomass;glucose;product,T_run_2;T_run_1,0.004836,0,,,0.09213032189,0.004836,0.01556588024,0,
45,400,45,1,90,0.09003962233,0.08394068415;0.07279047481;0.113387708,0.08522891678;0.09485032787,biomass;glucose;product,T_run_2;T_run_1,0.007818,0,,,0.09003962233,0.007818,0.0159661403,0,
46,400,46,1,92,0.08788531628,0.08166787185;0.07113006167;0.1108580153,0.09249353892;0.08327709363,biomass;glucose;product,T_run_1;T_run_2,0.006859,0,,,0.08788531628,0.006859,0.01636061566,0,
47,400,47,1,94,0.085667323,0.07933768788;0.06941424296;0.1082500382,0.09006363154;0.08127101446,biomass;glucose;product,T_run_1;T_run_2,0.005683,0,,,0.085667323,0.005683,0.01674656665,0,
48,400,48,1,96,0.08338608514,0.07695229297;0.06764250575;0.1055634567,0.07921042863;0.08756174166,biomass;glucose;product,T_run_2;T_run_1,0.006203,0,,,0.08338608514,0.006203,0.01712050075,0,
49,400,49,1,98,0.08104281514,0.0745148103;0.06581488496;0.1027987502,0.0849900804;0.07709554987,biomass;glucose;product,T_run_1;T_run_2,0.005802,0,,,0.08104281514,0.005802,0.01747791251,0,
50,400,50,1,100,0.07863958562,0.07202946389;0.06393201591;0.09995727706,0.07492708867;0.08235208257,biomass;glucose;product,T_run_2;T_run_1,0.005214,0,,,0.07863958562,0.005214,0.01781333006,0,
51,400,51,1,102,0.07617968607,0.06950200761;0.06199539433;0.09704165627,0.07965284416;0.07270652797,biomass;glucose;product,T_run_1;T_run_2,0.006660,0,,,0.07617968607,0.006660,0.01811998791,0,
52,400,52,1,104,0.07366785751,0.06693996296;0.06000756182;0.09405604774,0.07689935431;0.07043636071,biomass;glucose;product,T_run_1;T_run_2,0.005932,0,,,0.07366785751,0.005932,0.01838997121,0,
53,400,53,1,106,0.07111051138,0.06435277757;0.0579723005;0.09100645608,0.06812036247;0.07410066029,biomass;glucose;product,T_run_2;T_run_1,0.005909,0,,,0.07111051138,0.005909,0.01861454584,0,
54,400,54,1,108,0.06851588675,0.06175189644;0.05589479034;0.08790097346,0.0712679912;0.06576378229,biomass;glucose;product,T_run_1;T_run_2,0.006272,0,,,0.06851588675,0.006272,0.01878443421,0,
55,400,55,1,110,0.06589410156,0.05915066122;0.05378169826;0.08474994521,0.06841469687;0.06337350626,biomass;glucose;product,T_run_1;T_run_2,0.006105,0,,,0.06589410156,0.006105,0.0188904337,0,
56,400,56,1,112,0.06325706334,0.05656402011;0.05164116766;0.08156600223,0.06095811558;0.0655560111,biomass;glucose;product,T_run_2;T_run_1,0.006408,0,,,0.06325706334,0.006408,0.01892418602,0,
57,400,57,1,114,0.06061828717,0.05400812777;0.04948273115;0.07836400259,0.06270873386;0.05852784049,biomass;glucose;product,T_run_1;T_run_2,0.005472,0,,,0.06061828717,0.005472,0.01887886345,0,
58,400,58,1,116,0.05799261063,0.05149981529;0.04731713134;0.07516088527,0.05989078382;0.05609443745,biomass;glucose;product,T_run_1;T_run_2,0.007268,0,,,0.05799261063,0.007268,0.01874986986,0,
59,400,59,1,118,0.05539554329,0.04905571232;0.04515584102;0.07197507654,0.05367084549;0.05712024109,biomass;glucose;product,T_run_2;T_run_1,0.008141,0,,,0.05539554329,0.008141,0.01853528114,0,
60,400,60,1,120,0.05284250398,0.04669117823;0.04301050715;0.06882582656,0.05127030413;0.05441470383,biomass;glucose;product,T_run_2;T_run_1,0.008432,0,,,0.05284250398,0.008432,0.01823690057,0,
61,400,61,1,122,0.05034875323,0.0444202476;0.04089281279;0.0657331993,0.048906899;0.05179060746,biomass;glucose;product,T_run_2;T_run_1,0.008664,0,,,0.05034875323,0.008664,0.01785914415,0,
62,400,62,1,124,0.0479282771,0.04225433772;0.03881359332;0.06271690025,0.04659415642;0.04926239778,biomass;glucose;product,T_run_2;T_run_1,0.007231,0,,,0.0479282771,0.007231,0.01740958493,0,
63,400,63,1,126,0.04559311039,0.0402015444;0.03678225867;0.05979552809,0.04684175781;0.04434446297,biomass;glucose;product,T_run_1;T_run_2,0.007624,0,,,0.04559311039,0.007624,0.01689858859,0,
64,400,64,1,128,0.0433531833,0.03826659253;0.03480660217;0.0569863552,0.04216901636;0.04453735023,biomass;glucose;product,T_run_2;T_run_1,0.009632,0,,,0.0433531833,0.009632,0.01633810685,0,
65,400,65,1,130,0.04121575624,0.03645039883;0.03289227747;0.05430459243,0.04007698091;0.04235453157,biomass;glucose;product,T_run_2;T_run_1,0.010659,0,,,0.04121575624,0.010659,0.01574124261,0,
66,400,66,1,132,0.03918540816,0.03475006486;0.03104279752;0.05176336212,0.0380755326;0.04029528373,biomass;glucose;product,T_run_2;T_run_1,0.009170,0,,,0.03918540816,0.009170,0.01512160292,0,
67,400,67,1,134,0.03726392817,0.03315901774;0.02925938388;0.0493733829,0.03835827582;0.03616958052,biomass;glucose;product,T_run_1;T_run_2,0.010194,0,,,0.03726392817,0.010194,0.01449235967,0,
68,400,68,1,136,0.03545038306,0.03166717839;0.02754101964;0.04714295117,0.03653907251;0.03436169362,biomass;glucose;product,T_run_1;T_run_2,0.009854,0,,,0.03545038306,0.009854,0.01386586038,0,
69,400,69,1,138,0.03374118132,0.03026116758;0.02588451318;0.0450778632,0.03483056437;0.03265179827,biomass;glucose;product,T_run_1;T_run_2,0.009591,0,,,0.03374118132,0.009591,0.01325314372,0,
70,400,70,1,140,0.03213095906,0.02892536653;0.02428520515;0.04318230549,0.03322371985;0.03103819827,biomass;glucose;product,T_run_1;T_run_2,0.009694,0,,,0.03213095906,0.009694,0.01266360903,0,
71,400,71,1,142,0.03061240889,0.02764194325;0.02273690115;0.04145838228,0.02951734704;0.03170747074,biomass;glucose;product,T_run_2;T_run_1,0.010156,0,,,0.03061240889,0.010156,0.01210482696,0,
72,400,72,1,144,0.02917716932,0.0263920231;0.02123261615;0.0399068687,0.03026963278;0.02808470585,biomass;glucose;product,T_run_1;T_run_2,0.009675,0,,,0.02917716932,0.009675,0.01158232054,0,
73,400,73,1,146,0.02781611812,0.02515621351;0.01976493537;0.03852720547,0.02673449691;0.02889773932,biomass;glucose;product,T_run_2;T_run_1,0.010225,0,,,0.02781611812,0.010225,0.01109960756,0,
74,400,74,1,148,0.02651989158,0.02391542825;0.01832657419;0.0373176723,0.02757943625;0.02546034691,biomass;glucose;product,T_run_1;T_run_2,0.011003,0,,,0.02651989158,0.011003,0.0106581761,0,
75,400,75,1,150,0.02527949941,0.02265191923;0.01691100828;0.03627557073,0.02630320159;0.02425579724,biomass;glucose;product,T_run_1;T_run_2,0.012228,0,,,0.02527949941,0.012228,0.01025716674,0,
76,400,76,1,152,0.02408661834,0.02134996764;0.01551284997;0.0353970374,0.02311447161;0.02505876507,biomass;glucose;product,T_run_2;T_run_1,0.012966,0,,,0.02408661834,0.012966,0.009893295283,0,
77,400,77,1,154,0.02293420938,0.01999685914;0.01412845155;0.03467731745,0.02203032568;0.02383809307,biomass;glucose;product,T_run_2;T_run_1,0.013285,0,,,0.02293420938,0.013285,0.009560301417,0,
78,400,78,1,156,0.02181695052,0.01858376863;0.01275636828;0.03411071465,0.02099798038;0.02263592067,biomass;glucose;product,T_run_2;T_run_1,0.009962,0,,,0.02181695052,0.009962,0.009248240152,0,
79,400,79,1,158,0.0207320195,0.01710706423;0.01139817773;0.03369081654,0.02001292342;0.02145111557,biomass;glucose;product,T_run_2;T_run_1,0.013020,0,,,0.0207320195,0.013020,0.008942435074,0,
80,400,80,1,160,0.01967994079,0.01556991395;0.01005957538;0.03341033306,0.0190719184;0.02028796319,biomass;glucose;product,T_run_2;T_run_1,0.009963,0,,,0.01967994079,0.009963,0.008622238507,0,
81,400,81,1,162,0.01866564395,0.01398457715;0.008751891168;0.03326046352,0.0191577754;0.0181735125,biomass;glucose;product,T_run_1;T_run_2,0.014104,0,,,0.01866564395,0.014104,0.008260092458,0,
82,400,82,1,164,0.01769954839,0.01237543713;0.007493887346;0.0332293207,0.01808052997;0.01731856682,biomass;glucose;product,T_run_1;T_run_2,0.011641,0,,,0.01769954839,0.011641,0.007822087141,0,
83,400,83,1,166,0.01679829445,0.01078250312;0.006313521178;0.03329885905,0.01708588517;0.01651070373,biomass;glucose;product,T_run_1;T_run_2,0.011626,0,,,0.01679829445,0.011626,0.00727259808,0,
84,400,84,1,168,0.01598421344,0.009264145723;0.005248747845;0.03343974675,0.01575618109;0.01621224579,biomass;glucose;product,T_run_2;T_run_1,0.011133,0,,,0.01598421344,0.011133,0.006588564115,0,
85,400,85,1,170,0.0152827233,0.007896349947;0.004345916011;0.03360590395,0.01550155448;0.01506389213,biomass;glucose;product,T_run_1;T_run_2,0.011011,0,,,0.0152827233,0.011011,0.005793764535,0,
86,400,86,1,172,0.01471506074,0.006763475478;0.003652394458;0.0337293123,0.01498716395;0.01444295754,biomass;glucose;product,T_run_1;T_run_2,0.012166,0,,,0.01471506074,0.012166,0.005024448512,0,
87,400,87,1,174,0.0142867773,0.005938917192;0.003202514157;0.03371890054,0.01389967737;0.01467387722,biomass;glucose;product,T_run_2;T_run_1,0.010490,0,,,0.0142867773,0.010490,0.004587971782,0,
88,400,88,1,176,0.01397592581,0.005454949278;0.002997834313;0.03347499384,0.01343287909;0.01451897253,biomass;glucose;product,T_run_2;T_run_1,0.011264,0,,,0.01397592581,0.011264,0.004783726892,0,
89,400,89,1,178,0.01373513585,0.005279733394;0.002995225133;0.03293044904,0.01303228907;0.01443798264,biomass;glucose;product,T_run_2;T_run_1,0.010689,0,,,0.01373513585,0.010689,0.005489547247,0,
90,400,90,1,180,0.01351009276,0.005331142024;0.00311958524;0.032079551,0.0143379999;0.01268218561,biomass;glucose;product,T_run_1;T_run_2,0.011124,0,,,0.01351009276,0.011124,0.006278876646,0,
91,400,91,1,182,0.01325819628,0.005515119696;0.003291825486;0.03096764366,0.01236694888;0.01414944368,biomass;glucose;product,T_run_2;T_run_1,0.010453,0,,,0.01325819628,0.010453,0.006804443472,0,
92,400,92,1,184,0.01295933441,0.005756899843;0.003453130685;0.02966797271,0.01207526809;0.01384340073,biomass;glucose;product,T_run_2;T_run_1,0.012171,0,,,0.01295933441,0.012171,0.006897526475,0,
93,400,93,1,186,0.01261807205,0.006015077666;0.003576562422;0.02826257606,0.01343418011;0.01180196398,biomass;glucose;product,T_run_1;T_run_2,0.011084,0,,,0.01261807205,0.011084,0.006545997964,0,
94,400,94,1,188,0.01225714344,0.006278837876;0.003664019104;0.02682857335,0.01296715503;0.01154713185,biomass;glucose;product,T_run_1;T_run_2,0.010164,0,,,0.01225714344,0.010164,0.005859362137,0,
95,400,95,1,190,0.01190562786,0.006554248837;0.003733290081;0.02542934467,0.01131339107;0.01249786466,biomass;glucose;product,T_run_2;T_run_1,0.011027,0,,,0.01190562786,0.011027,0.005027074143,0,
96,400,96,1,192,0.01158722273,0.006848019032;0.003803309812;0.02411033934,0.01207164231;0.01110280314,biomass;glucose;product,T_run_1;T_run_2,0.010527,0,,,0.01158722273,0.010527,0.00426957205,0,
97,400,97,1,194,0.01131334275,0.007156785918;0.0038844556;0.02289878673,0.01171185593;0.01091482957,biomass;glucose;product,T_run_1;T_run_2,0.009556,0,,,0.01131334275,0.009556,0.003775116288,0,
98,400,98,1,196,0.01108245739,0.007464987669;0.003976208474;0.02180617603,0.01141905202;0.01074586276,biomass;glucose;product,T_run_1;T_run_2,0.013153,0,,,0.01108245739,0.013153,0.003615744753,0,
