step,total_updates,epoch,batch_in_epoch,samples_seen,mean_loss,per_target_loss,per_process_loss,target_names,process_names,step_dt,rebuild_count,holdout_loss,holdout_label,epoch_mean_loss,epoch_time_seconds,grad_norm,n_failed_samples,failed_processes
35,800,35,1,105,1.673278241,0.002185919139;0.01152489528;0.002703946904;6.676698201,1.673884449;1.673350842;1.67259943,biomass;glucose;product;gp_nll,run_3;run_1;run_2,6.499996,0,,,1.673278241,6.499996,1.623094988,0,
36,800,36,1,108,1.657541538,0.002192872458;0.01133803713;0.002758456768;6.613876787,1.658172086;1.657629734;1.656822795,biomass;glucose;product;gp_nll,run_3;run_1;run_2,6.642512,0,,,1.657541538,6.642512,1.60753811,0,
37,800,37,1,111,1.642033054,0.002213026915;0.01116182514;0.002819301059;6.551938062,1.641274727;1.642130787;1.642693647,biomass;glucose;product;gp_nll,run_2;run_1;run_3,7.621278,0,,,1.642033054,7.621278,1.592189377,0,
38,800,38,1,114,1.626747956,0.00224369378;0.01099550892;0.002884698562;6.490867922,1.625950931;1.626850289;1.627442647,biomass;glucose;product;gp_nll,run_2;run_1;run_3,7.784642,0,,,1.626747956,7.784642,1.577046841,0,
39,800,39,1,117,1.611681598,0.002282624127;0.01083836705;0.002953170905;6.430652229,1.612413077;1.610847186;1.611784529,biomass;glucose;product;gp_nll,run_3;run_2;run_1,8.584675,0,,,1.611681598,8.584675,1.562108363,0,
40,800,40,1,120,1.596829514,0.002327946298;0.01068975297;0.00302350166;6.371276854,1.59759941;1.59692981;1.595959322,biomass;glucose;product;gp_nll,run_3;run_1;run_2,8.103287,0,,,1.596829514,8.103287,1.547371577,0,
41,800,41,1,123,1.582187409,0.002378087175;0.01054915758;0.003094667969;6.312727723,1.582996473;1.582282456;1.581283298,biomass;glucose;product;gp_nll,run_3;run_1;run_2,7.311120,0,,,1.582187409,7.311120,1.532834047,0,
42,800,42,1,126,1.567751116,0.002431746991;0.01041602292;0.003165842737;6.25499085,1.5685994;1.567838821;1.566815125,biomass;glucose;product;gp_nll,run_3;run_1;run_2,8.579241,0,,,1.567751116,8.579241,1.518493117,0,
43,800,43,1,129,1.553516588,0.002487799045;0.01028989136;0.00323629712;6.198052363,1.552550886;1.553595299;1.554403578,biomass;glucose;product;gp_nll,run_2;run_1;run_3,8.597833,0,,,1.553516588,8.597833,1.504346064,0,
44,800,44,1,132,1.539479897,0.002545324867;0.01017026354;0.003305464573;6.141898536,1.538486747;1.539548324;1.540404622,biomass;glucose;product;gp_nll,run_2;run_1;run_3,7.647135,0,,,1.539479897,7.647135,1.490390049,0,
45,800,45,1,135,1.525637234,0.002603543485;0.01005673755;0.003372855962;6.086515801,1.524618954;1.525694379;1.52659837,biomass;glucose;product;gp_nll,run_2;run_1;run_3,7.059850,0,,,1.525637234,7.059850,1.476622206,0,
46,800,46,1,138,1.511984893,0.002661800251;0.009948933257;0.003438071133;6.031890766,1.512029991;1.510943865;1.512980822,biomass;glucose;product;gp_nll,run_1;run_2;run_3,7.405848,0,,,1.511984893,7.405848,1.463039658,0,
47,800,47,1,141,1.498519241,0.002719520379;0.009846456479;0.003500753925;5.978010233,1.499548157;1.498551747;1.497457818,biomass;glucose;product;gp_nll,run_3;run_1;run_2,7.432251,0,,,1.498519241,7.432251,1.449639512,0,
