step,total_updates,epoch,batch_in_epoch,samples_seen,mean_loss,per_target_loss,per_process_loss,target_names,process_names,step_dt,rebuild_count,holdout_loss,holdout_label,epoch_mean_loss,epoch_time_seconds,grad_norm,n_failed_samples,failed_processes
21,400,21,1,546,0.05056086368,0.05855769393;0.03179313363;0.06133176349,0.07715366259;0.03617400238;0.01410106865;0.03703622627;0.1547462258;0.07919055214;0.03320463504;0.03922511427;0.1046162843;0.07433130755;0.05650972517;0.03957862089;0.01339401155;0.09212569973;0.03467315251;0.01544305459;0.06767638019;0.07551426321;0.0382969947;0.01049378741;0.02220114657;0.0435823872;0.009264149519;0.08938231389;0.02705781477;0.02960987474,biomass;glucose;product,H3_run_4;H3_run_2;H2_run_4;T_run_1;H1_run_6;H4_run_5;T_run_2;H3_run_6;H1_run_3;H2_run_1;H2_run_3;H3_run_1;H3_run_3;H3_run_5;H4_run_1;H4_run_2;H1_run_2;H4_run_4;H2_run_6;H2_run_5;H2_run_2;H1_run_4;H4_run_6;H1_run_5;H1_run_1;H4_run_3,0.052455,0,,,0.05056086368,0.052455,0.005480010508,0,
22,400,22,1,572,0.04990871345,0.05771174942;0.03142569559;0.06058869533,0.07784666501;0.04323757628;0.0728515713;0.0356966699;0.08867912669;0.03748925286;0.03282607337;0.03887619495;0.01025860433;0.05532510631;0.1037961064;0.1532457169;0.01513832645;0.02171286397;0.03391951463;0.07424211537;0.0133060458;0.0137903796;0.06703053;0.02907782883;0.009086798714;0.03927414872;0.03660246438;0.02653814016;0.07659094107;0.09118778765,biomass;glucose;product,H4_run_5;H1_run_4;H2_run_1;H3_run_2;H1_run_5;H2_run_6;T_run_2;H3_run_6;H2_run_5;H2_run_3;H1_run_3;H1_run_6;H4_run_2;H2_run_2;H4_run_1;H4_run_4;H3_run_3;H2_run_4;H1_run_2;H4_run_3;H4_run_6;H3_run_1;T_run_1;H1_run_1;H3_run_4;H3_run_5,0.056253,0,,,0.04990871345,0.056253,0.00570422246,0,
23,400,23,1,598,0.04922886482,0.05683072553;0.03104213466;0.05981373425,0.07291464686;0.03664482099;0.02600398737;0.03895646362;0.1029345584;0.01321366196;0.02851953132;0.0134647859;0.08794005991;0.0331421225;0.03851316591;0.07644651837;0.1516817015;0.008900881942;0.03520387609;0.07600298257;0.01001272118;0.09021648592;0.02120584219;0.06635583782;0.01481881692;0.03242685414;0.0540966833;0.04287461197;0.07131323385;0.03614563267,biomass;glucose;product,H4_run_4;H2_run_6;H1_run_1;H3_run_1;H1_run_3;H3_run_3;H4_run_3;H2_run_4;H1_run_5;H4_run_1;H3_run_6;H4_run_5;H1_run_6;H4_run_6;H3_run_2;H3_run_4;H2_run_5;H3_run_5;H2_run_2;H1_run_2;H4_run_2;T_run_2;H2_run_3;H1_run_4;H2_run_1;T_run_1,0.054120,0,,,0.04922886482,0.054120,0.005931386328,0,
24,400,24,1,624,0.04852075659,0.05591413416;0.03064202492;0.05900611069,0.08921090768;0.07538877611;0.02793430797;0.07498979761;0.01311667061;0.01448413108;0.01312399883;0.1500525929;0.06971673432;0.02545523685;0.102029994;0.06565122956;0.03200597848;0.08716363423;0.008706119201;0.009755919116;0.03566469489;0.03862498342;0.03813545547;0.03576332041;0.03469520754;0.07153130048;0.05282498207;0.02067991587;0.04249269935;0.03234108326,biomass;glucose;product,H3_run_5;H3_run_4;H4_run_3;H4_run_5;H3_run_3;H4_run_2;H2_run_4;H1_run_6;H2_run_1;H1_run_1;H1_run_3;H1_run_2;T_run_2;H1_run_5;H4_run_6;H2_run_5;T_run_1;H3_run_1;H3_run_6;H2_run_6;H3_run_2;H4_run_4;H2_run_3;H2_run_2;H1_run_4;H4_run_1,0.056314,0,,,0.04852075659,0.056314,0.00616047841,0,
25,400,25,1,650,0.04778393002,0.05496165145;0.03022498311;0.0581651555,0.0348447211;0.08634848506;0.03151648258;0.0881700815;0.0680631111;0.1483569349;0.06491558935;0.04209112633;0.01413393715;0.03827908319;0.03774243731;0.03417017384;0.01301490585;0.02013493325;0.02489169431;0.0515108185;0.0273216756;0.009488011029;0.1010809271;0.01276782538;0.07009196938;0.07474728901;0.03156246943;0.07347661286;0.00850224095;0.03515864434,biomass;glucose;product,H2_run_6;H1_run_5;H4_run_1;H3_run_5;H2_run_1;H1_run_6;H1_run_2;H1_run_4;H4_run_2;H3_run_1;H3_run_6;H3_run_2;H3_run_3;H2_run_2;H1_run_1;H2_run_3;H4_run_3;H2_run_5;H1_run_3;H2_run_4;H4_run_4;H3_run_4;T_run_2;H4_run_5;H4_run_6;T_run_1,0.122485,0,,,0.04778393002,0.122485,0.00639036239,0,
26,400,26,1,676,0.04701803636,0.05397312852;0.02979067157;0.057290309,0.02431307797;0.0663540104;0.01239618339;0.03388938712;0.1000860854;0.01290823374;0.06859704694;0.02668138541;0.146593394;0.03362819065;0.008288990318;0.08549340225;0.01957075208;0.06414774034;0.03733341509;0.01376797757;0.05015528353;0.03462651781;0.07190751176;0.03066836263;0.009208846594;0.0379180814;0.08709291257;0.07407745967;0.03109538883;0.04166930804,biomass;glucose;product,H1_run_1;H2_run_1;H2_run_4;H2_run_6;H1_run_3;H3_run_3;H4_run_4;H4_run_3;H1_run_6;H3_run_2;H4_run_6;H1_run_5;H2_run_2;H1_run_2;H3_run_6;H4_run_2;H2_run_3;T_run_1;H4_run_5;H4_run_1;H2_run_5;H3_run_1;H3_run_5;H3_run_4;T_run_2;H1_run_4,0.091146,0,,,0.04701803636,0.091146,0.006619807404,0,
27,400,27,1,702,0.04622284491,0.05294860578;0.02933879986;0.05638112909,0.03690763929;0.02979676225;0.07337820433;0.06459168188;0.09904442318;0.01279656224;0.01200911402;0.08597819949;0.02601343572;0.03754125191;0.01898726754;0.1447607178;0.0133860787;0.03306860664;0.03060384746;0.03289808967;0.06704738835;0.08459734163;0.07028344835;0.008066133104;0.04122680426;0.02371905758;0.03406740104;0.06334645924;0.04875972529;0.008918326733,biomass;glucose;product,H3_run_6;H4_run_1;H3_run_4;H2_run_1;H1_run_3;H3_run_3;H2_run_4;H3_run_5;H4_run_3;H3_run_1;H2_run_2;H1_run_6;H4_run_2;H3_run_2;T_run_2;H2_run_6;H4_run_4;H1_run_5;H4_run_5;H4_run_6;H1_run_4;H1_run_1;T_run_1;H1_run_2;H2_run_3;H2_run_5,0.074066,0,,,0.04622284491,0.074066,0.006847501876,0,
28,400,28,1,728,0.04539824471,0.0518883317;0.02886911896;0.05543728346,0.0324908505;0.01267983056;0.06860567184;0.06277863272;0.0473257172;0.02890191373;0.01160679109;0.07264844754;0.03008698479;0.1428577099;0.01838454995;0.04076326979;0.09795501173;0.007833486939;0.0334804085;0.03714788678;0.06544418068;0.008616448546;0.02310943945;0.03187188908;0.06251055702;0.01298816069;0.02531800632;0.08482477646;0.03646439349;0.08365934718,biomass;glucose;product,H3_run_2;H3_run_3;H4_run_5;H2_run_1;H2_run_3;H4_run_1;H2_run_4;H3_run_4;T_run_2;H1_run_6;H2_run_2;H1_run_4;H1_run_3;H4_run_6;T_run_1;H3_run_1;H4_run_4;H2_run_5;H1_run_1;H2_run_6;H1_run_2;H4_run_2;H4_run_3;H3_run_5;H3_run_6;H1_run_5,0.069671,0,,,0.04539824471,0.069671,0.007072087256,0,
29,400,29,1,754,0.04454425068,0.0507928;0.02838141466;0.05445853739,0.01255797724;0.03286463346;0.08267839693;0.02459533126;0.02954391303;0.06378854247;0.06091738742;0.01118951687;0.03189466722;0.1408831953;0.04585518967;0.03600314321;0.04027833746;0.07188718991;0.0836317861;0.01776304906;0.03081192245;0.06163904022;0.02248445625;0.02798459337;0.008303372978;0.09681682201;0.06687542674;0.01257425197;0.03673740693;0.007590968261,biomass;glucose;product,H3_run_3;T_run_1;H1_run_5;H4_run_3;T_run_2;H4_run_4;H2_run_1;H2_run_4;H3_run_2;H1_run_6;H2_run_3;H3_run_6;H1_run_4;H3_run_4;H3_run_5;H2_run_2;H2_run_6;H1_run_2;H1_run_1;H4_run_1;H2_run_5;H1_run_3;H4_run_5;H4_run_2;H3_run_1;H4_run_6,0.064483,0,,,0.04454425068,0.064483,0.00729218196,0,
30,400,30,1,780,0.04366101857,0.04966279852;0.02787550593;0.05344475127,0.007979476344;0.09562857136;0.01712372404;0.08165329853;0.05901029135;0.03552363374;0.02384559245;0.01243092148;0.06073123073;0.06509394582;0.01075774477;0.03128026082;0.02184492094;0.02897368296;0.07109356426;0.02704628485;0.007338634292;0.012144502;0.02971932161;0.03630943928;0.03221911675;0.03977152833;0.1388360587;0.08239885223;0.06208140924;0.04435047603,biomass;glucose;product,H2_run_5;H1_run_3;H2_run_2;H1_run_5;H2_run_1;H3_run_6;H4_run_3;H3_run_3;H1_run_2;H4_run_5;H2_run_4;H3_run_2;H1_run_1;T_run_2;H3_run_4;H4_run_1;H4_run_6;H4_run_2;H2_run_6;H3_run_1;T_run_1;H1_run_4;H1_run_6;H3_run_5;H4_run_4;H2_run_3,0.066534,0,,,0.04366101857,0.066534,0.007506373105,0,
