step,total_updates,epoch,batch_in_epoch,samples_seen,mean_loss,per_target_loss,per_process_loss,target_names,process_names,step_dt,rebuild_count,holdout_loss,holdout_label,epoch_mean_loss,epoch_time_seconds,grad_norm,n_failed_samples,failed_processes
49,800,49,1,147,0.0167299974,0.02974369091;0.009331745133;0.01111455614,0.01698685146;0.01183728699;0.02136585374,biomass;glucose;product,run_1;run_2;run_3,0.011408,0,,,0.0167299974,0.011408,0.06387922086,0,
50,800,50,1,150,0.01558747223,0.02730881319;0.008245718861;0.01120788464,0.02122415928;0.01447330655;0.01106495086,biomass;glucose;product,run_3;run_1;run_2,0.021875,0,,,0.01558747223,0.021875,0.05916284635,0,
51,800,51,1,153,0.01459934944,0.02473517225;0.007471206368;0.0115916697,0.02110900967;0.01227158473;0.01041745391,biomass;glucose;product,run_3;run_1;run_2,0.011775,0,,,0.01459934944,0.011775,0.05643680065,0,
52,800,52,1,156,0.01362004371,0.02223120667;0.00690427811;0.01172464635,0.01041421096;0.009755745185;0.02069017499,biomass;glucose;product,run_1;run_2;run_3,0.026129,0,,,0.01362004371,0.026129,0.05530779334,0,
53,800,53,1,159,0.01255063002,0.01992688494;0.006455438797;0.01126956632,0.008988337723;0.008891447181;0.01977210516,biomass;glucose;product,run_2;run_1;run_3,0.032556,0,,,0.01255063002,0.032556,0.05476319209,0,
54,800,54,1,162,0.01139113846,0.01788084311;0.006079782955;0.01021278931,0.01836253492;0.007699029454;0.008111851006,biomass;glucose;product,run_3;run_1;run_2,0.015180,0,,,0.01139113846,0.015180,0.05381559866,0,
55,800,55,1,165,0.01022106771,0.0161001341;0.005774227716;0.008788841298,0.007194740196;0.006850964211;0.01661749871,biomass;glucose;product,run_2;run_1;run_3,0.007736,0,,,0.01022106771,0.007736,0.05163835706,0,
56,800,56,1,168,0.009153930199,0.01455965572;0.005560642195;0.007341492687,0.006338554992;0.01475665883;0.00636657678,biomass;glucose;product,run_2;run_3;run_1,0.010606,0,,,0.009153930199,0.010606,0.04774439501,0,
57,800,57,1,171,0.008296964583,0.01322098632;0.005467846183;0.006202061247,0.005643467518;0.01299752138;0.00624990485,biomass;glucose;product,run_2;run_3;run_1,0.015773,0,,,0.008296964583,0.015773,0.04223215677,0,
58,800,58,1,174,0.007720850712,0.01204919155;0.005518778974;0.005594581612,0.01151524389;0.005179804649;0.0064675036,biomass;glucose;product,run_3;run_2;run_1,0.015539,0,,,0.007720850712,0.015539,0.03599223077,0,
