step,total_updates,epoch,batch_in_epoch,samples_seen,mean_loss,per_target_loss,per_process_loss,target_names,process_names,step_dt,rebuild_count,holdout_loss,holdout_label,epoch_mean_loss,epoch_time_seconds,grad_norm,n_failed_samples,failed_processes
47,400,47,1,141,0.006025267433,0.001389008829;0.01066152604,0.006335180233;0.005581144212;0.006159477853,biomass;glyco_frac,run_3;run_1;run_2,0.002856,0,,,0.006025267433,0.002856,0.03789868669,0,
48,400,48,1,144,0.005206250108,0.0003846765072;0.01002782371,0.004968914903;0.005722102717;0.004927732705,biomass;glyco_frac,run_2;run_3;run_1,0.002425,0,,,0.005206250108,0.002425,0.02941718753,0,
49,400,49,1,147,0.004764339994,9.801576273e-05;0.009430664225,0.004570905997;0.004416788914;0.005305325072,biomass;glyco_frac,run_1;run_2;run_3,0.003454,0,,,0.004764339994,0.003454,0.02511448267,0,
50,400,50,1,150,0.004707835488,0.0005474597239;0.008868211251,0.005089244913;0.004514629191;0.004519632359,biomass;glyco_frac,run_3;run_1;run_2,0.002792,0,,,0.004707835488,0.002792,0.03155482435,0,
51,400,51,1,153,0.004964215298,0.001589740675;0.00833868992,0.005038801648;0.004699401964;0.005154442281,biomass;glyco_frac,run_3;run_1;run_2,0.003046,0,,,0.004964215298,0.003046,0.04580654431,0,
52,400,52,1,156,0.005363058272,0.002885728187;0.007840388357,0.004989473913;0.006028802079;0.005070898824,biomass;glyco_frac,run_1;run_2;run_3,0.002997,0,,,0.005363058272,0.002997,0.06106662957,0,
53,400,53,1,159,0.005680074872,0.003988491059;0.007371658685,0.006756530583;0.005207995678;0.005075698354,biomass;glyco_frac,run_2;run_1;run_3,0.003960,0,,,0.005680074872,0.003960,0.07270782694,0,
54,400,54,1,162,0.005737107405,0.004543297241;0.006930917569,0.004965470675;0.005215541917;0.007030309624,biomass;glyco_frac,run_3;run_1;run_2,0.003252,0,,,0.005737107405,0.003252,0.07815529936,0,
55,400,55,1,165,0.005478807558,0.004440968778;0.006516646338,0.006754411595;0.00496974421;0.004712266869,biomass;glyco_frac,run_2;run_1;run_3,0.002663,0,,,0.005478807558,0.002663,0.07692287702,0,
56,400,56,1,168,0.004967806393,0.003808222055;0.006127390731,0.006036699568;0.004345760241;0.00452095937,biomass;glyco_frac,run_2;run_3;run_1,0.002887,0,,,0.004967806393,0.002887,0.07016709826,0,
57,400,57,1,171,0.00432607433,0.002890388346;0.005761760314,0.00508748859;0.003924653849;0.003966080551,biomass;glyco_frac,run_2;run_3;run_1,0.003091,0,,,0.00432607433,0.003091,0.05983754824,0,
58,400,58,1,174,0.003676044208,0.001933660801;0.005418427615,0.003507885046;0.004117851305;0.003402396273,biomass;glyco_frac,run_3;run_2;run_1,0.002738,0,,,0.003676044208,0.002738,0.04795278718,0,
59,400,59,1,177,0.003106656876,0.001117186749;0.005096127002,0.003138010415;0.003280956082;0.00290100413,biomass;glyco_frac,run_3;run_2;run_1,0.002948,0,,,0.003106656876,0.002948,0.03622967788,0,
60,400,60,1,180,0.002663896844,0.0005341403325;0.004793653356,0.00283659372;0.002655748312;0.0024993485,biomass;glyco_frac,run_3;run_2;run_1,0.002345,0,,,0.002663896844,0.002345,0.02605648149,0,
61,400,61,1,183,0.002356612459,0.0002033643546;0.004509860564,0.002607088537;0.002257064711;0.002205684128,biomass;glyco_frac,run_3;run_2;run_1,0.002731,0,,,0.002356612459,0.002731,0.01873615291,0,
62,400,62,1,186,0.002168629558,9.359924535e-05;0.00424365987,0.002440799681;0.002056619969;0.002008469023,biomass;glyco_frac,run_3;run_2;run_1,0.002225,0,,,0.002168629558,0.002225,0.01552910063,0,
63,400,63,1,189,0.002071086947,0.0001481557833;0.00399401811,0.002322940147;0.00188596542;0.002004355272,biomass;glyco_frac,run_3;run_1;run_2,0.003256,0,,,0.002071086947,0.003256,0.01621512505,0,
64,400,64,1,192,0.002031978866,0.000304001881;0.003759955851,0.002044934091;0.002237304861;0.001813697646,biomass;glyco_frac,run_2;run_3;run_1,0.002865,0,,,0.002031978866,0.002865,0.0186851098,0,
65,400,65,1,195,0.002022156728,0.00050376798;0.003540545477,0.002169198602;0.001769172999;0.002128098584,biomass;glyco_frac,run_3;run_1;run_2,0.002292,0,,,0.002022156728,0.002292,0.02131559696,0,
66,400,66,1,198,0.002018301338,0.000701693461;0.003334909214,0.00210687411;0.002213779488;0.001734250415,biomass;glyco_frac,run_3;run_2;run_1,0.003787,0,,,0.002018301338,0.003787,0.0234774316,0,
67,400,67,1,201,0.002003809081,0.000865401016;0.003142217146,0.002041947421;0.001695881359;0.002273598463,biomass;glyco_frac,run_3;run_1;run_2,0.002638,0,,,0.002003809081,0.002638,0.02499832578,0,
68,400,68,1,204,0.001968479052,0.0009752728993;0.002961685205,0.001969227986;0.001645907986;0.002290301184,biomass;glyco_frac,run_3;run_1;run_2,0.002369,0,,,0.001968479052,0.002369,0.02586372578,0,
69,400,69,1,207,0.001907641425,0.001022709673;0.002792573178,0.001886278585;0.001580415379;0.002256230311,biomass;glyco_frac,run_3;run_1;run_2,0.002330,0,,,0.001907641425,0.002330,0.02610665721,0,
70,400,70,1,210,0.001821109829,0.001008036933;0.002634182725,0.001498936593;0.002171500233;0.001792892659,biomass;glyco_frac,run_1;run_2;run_3,0.002413,0,,,0.001821109829,0.002413,0.02576975818,0,
71,400,71,1,213,0.001712144344,0.0009384332627;0.002485855425,0.001690580016;0.002042195394;0.001403657621,biomass;glyco_frac,run_3;run_2;run_1,0.001975,0,,,0.001712144344,0.001975,0.02489419783,0,
72,400,72,1,216,0.00158648736,0.0008260038584;0.002346970861,0.001878698545;0.001582090621;0.001298672914,biomass;glyco_frac,run_2;run_3;run_1,0.003043,0,,,0.00158648736,0.003043,0.02351967843,0,
73,400,73,1,219,0.001451468062,0.0006859913792;0.002216944745,0.001189290265;0.001470973612;0.001694140309,biomass;glyco_frac,run_1;run_3;run_2,0.003185,0,,,0.001451468062,0.003185,0.0216900017,0,
74,400,74,1,222,0.001315145898,0.000535064702;0.002095227094,0.00136115626;0.001502917498;0.001081363935,biomass;glyco_frac,run_3;run_2;run_1,0.004374,0,,,0.001315145898,0.004374,0.01946274602,0,
75,400,75,1,225,0.00118546652,0.0003896325753;0.001981300464,0.0009806371863;0.001319233214;0.001256529159,biomass;glyco_frac,run_1;run_2;run_3,0.003826,0,,,0.00118546652,0.003826,0.01692408728,0,
76,400,76,1,228,0.00106942801,0.0002641777838;0.001874678236,0.0008920942281;0.00115565385;0.001160535952,biomass;glyco_frac,run_1;run_2;run_3,0.003014,0,,,0.00106942801,0.003014,0.01421311683,0,
77,400,77,1,231,0.0009722950757,0.0001696871832;0.001774902968,0.0008193525244;0.001021747211;0.001075785491,biomass;glyco_frac,run_1;run_2;run_3,0.002679,0,,,0.0009722950757,0.002679,0.01156606976,0,
